Checkpoint sweep — classical — logs/agvpreid_classical_80ep
Epoch        Rank-1   Rank-5
------------------------------
ep10        33.00%   51.70%
ep20        25.10%   43.10%
ep30        12.90%   27.90%
ep40        58.10%   75.10%
ep50        61.60%   77.20%
ep60        62.30%   77.90%
ep70        62.40%   78.50%
ep80        62.30%   78.20%
